order number,customer number,amount,product
245,7,$84.21,247
246,14,$53.04,218
247,2,$160.80,249
248,2,$7.98,257
249,14,$197.27,268
250,12,$69.64,289
251,2,$3.74,221
252,3,$139.96,284
253,7,$291.06,234
254,11,$25.86,255
255,6,$18.57,249
256,6,$85.31,300
257,5,$189.52,211
258,9,$61.21,288
259,15,$3.38,246
260,11,$88.78,289
261,14,$206.35,245
262,15,$88.33,268
263,14,$57.58,295
264,7,$131.89,295
265,15,$105.31,202
266,9,$11.75,277
267,9,$275.75,278
268,12,$212.30,267
269,11,$103.28,273
270,9,$8.66,233
271,6,$282.42,269
272,4,$112.60,294
273,13,$12.98,290
274,8,$273.10,286
275,14,$228.30,232
276,12,$197.64,273
277,4,$282.36,207
278,14,$7.76,260
279,13,$91.60,270
280,6,$113.58,283
281,3,$249.99,252
282,14,$207.38,259
283,3,$105.76,208
284,13,$223.71,239
285,11,$102.11,213
286,8,$216.90,209
287,11,$264.06,288
288,6,$6.36,245
289,14,$285.73,298
290,11,$263.95,266
291,12,$35.33,296
292,3,$158.33,299
293,3,$204.53,264
294,8,$159.97,274
295,3,$160.81,210
296,15,$93.78,242
297,4,$199.54,226
298,8,$37.49,277
299,15,$91.81,269
300,5,$203.01,237
301,7,$194.98,214
302,6,$242.03,205
303,4,$270.11,243
304,8,$238.06,250
305,14,$71.19,279
306,12,$26.14,255
307,7,$148.82,288
308,3,$223.15,210
309,15,$11.32,251
310,4,$100.76,253
311,5,$199.93,269
312,9,$146.39,261
313,9,$156.09,285
314,8,$184.13,273
315,2,$156.99,232
316,2,$176.65,259
317,9,$92.03,234
318,11,$152.47,226
319,13,$295.89,295
320,12,$264.44,235
321,7,$292.52,275
322,8,$137.88,257
323,9,$65.20,230
324,14,$228.70,213
325,13,$28.10,219
326,2,$139.28,221
327,8,$138.53,263
328,14,$103.25,289
329,9,$63.08,234
330,2,$9.64,222
331,2,$175.86,274
332,5,$115.75,285
333,15,$258.40,245
334,8,$259.16,252
335,3,$148.15,219
336,3,$199.77,211
337,8,$107.77,295
338,7,$268.09,263
339,12,$100.25,225
340,9,$96.54,265
341,7,$43.42,291
342,7,$35.39,287
343,14,$0.88,272
344,2,$186.49,289
